"Audience Name","Email Name","Email type","Email Sent Time",Clicked,Opened,"Click Rate","Clicks Per Unique Opens","Total clicks","Emails sent","Open Rate","Total opens",Unsubscribed,"Unsubscribe Rate","Abuse complaints"
"Church Army","CAConnected Friday 9  June 2023:55",Regular,"2023-06-09 08:00:00",150,363,0.23885349929333,0.41322314739227,381,628,0.57802546024323,761,0,0,0
"Church Army","Prayer Points 2023:B11 11 June - 17 June",Regular,"2023-06-10 07:00:00",64,385,0.084432721138,0.16623376309872,201,760,0.50791555643082,783,1,0.0013192612677813,0
"Church Army","CAConnected Monday 12 June 2023:56 EiT Collette Dorgu",Regular,"2023-06-12 08:00:00",2,321,0.0031796502880752,0.0062305293977261,2,629,0.51033383607864,606,1,0.0015898251440376,0
"Church Army","CAConnected Tuesday 13 June 2023:57 New Pioneer Evangelist for Rochdale CoM",Regular,"2023-06-13 08:00:00",1,338,0.0015923567116261,0.0029585799202323,1,628,0.5382165312767,615,0,0,0
"Church Army","★ Church Army Pastoral Letter June 2023",Regular,"2023-06-14 12:15:00",115,360,0.18312102556229,0.31944444775581,201,628,0.57324838638306,690,0,0,0
"Church Army","CAConnected Thursday 15 June 2023:58 EiT Neil Obbard",Regular,"2023-06-15 09:00:00",0,328,0,0,0,628,0.52229297161102,593,0,0,0
"Church Army","CAConnected Friday 16 June 2023:59",Regular,"2023-06-16 10:00:00",94,357,0.14920635521412,0.26330533623695,251,630,0.56666666269302,719,0,0,0
"Church Army","Prayer Points 2023:B12 18 June - 24 June",Regular,"2023-06-17 07:00:00",64,390,0.084321476519108,0.16410256922245,215,759,0.51383399963379,808,0,0,0
"Church Army","Leaders Gathering - Monday 19 June",Regular,"2023-06-19 10:30:00",0,42,0,0,0,60,0.69999998807907,126,0,0,0
"Church Army","Supporter News Volunteer Celebration 19 June 2023",Regular,"2023-06-19 17:00:00",30,1754,0.009313877671957,0.0171037632972,53,3230,0.54455137252808,2705,2,0.00062092515872791,0
"Church Army","Inside Out June23",Regular,"2023-06-20 09:24:31",6,75,0.034285712987185,0.079999998211861,9,178,0.4285714328289,164,0,0,0
"Church Army","CAConnected  June 2023:60 EiT Heidi Lewis",Regular,"2023-06-21 10:00:00",0,325,0,0,0,634,0.51261830329895,573,0,0,0
"Church Army","CAConnected Friday 23 June 2023:61",Regular,"2023-06-23 08:30:00",113,368,0.1782334446907,0.30706521868706,254,634,0.58044165372849,733,0,0,0
"Church Army","Prayer Points 2023:B13 25 June - 1 July",Regular,"2023-06-24 07:00:00",58,400,0.076517149806023,0.14499999582767,182,758,0.52770447731018,773,1,0.0013192612677813,0
"Church Army","CAConnected 26 June 2023:62 EiT Miranda Okon",Regular,"2023-06-26 13:00:00",0,347,0,0,0,636,0.54559749364853,648,0,0,0
"Church Army","CAConnected Tuesday 27 June 2023:63 MYCN",Regular,"2023-06-27 10:52:50",32,360,0.050314463675022,0.088888891041279,66,636,0.56603771448135,699,0,0,0
"Church Army","DD Error To Donors 27 June 2023",Regular,"2023-06-27 15:15:00",8,130,0.041025642305613,0.061538461595774,9,207,0.66666668653488,214,0,0,0
"Church Army","CAConnected Friday 30 June 2023:64",Regular,"2023-06-30 09:00:00",103,366,0.16169545054436,0.28142076730728,216,637,0.57456827163696,709,0,0,0
"Church Army","Prayer Points 2023:C1 2 July - 8 July",Regular,"2023-07-01 07:00:00",54,376,0.070680625736713,0.14361701905727,194,766,0.49214661121368,768,0,0,0
"Church Army","Leaders Gathering - Monday 3 July (Booking Form)",Regular,"2023-07-03 08:00:00",36,51,0.60000002384186,0.70588237047195,123,60,0.85000002384186,492,0,0,0
"Church Army","CAConnected 3 July 2023:65 EiT Andrena Palmer",Regular,"2023-07-03 10:00:00",0,324,0,0,0,643,0.5038880109787,693,0,0,0
"Church Army","CAConnected Wednesday 5 July 2023:66 Kia Macpherson",Regular,"2023-07-05 11:31:43",1,335,0.0015576323494315,0.0029850746504962,1,642,0.52180683612823,572,0,0,0
"Church Army","★ Church Army Pastoral Letter July 2023",Regular,"2023-07-06 09:15:00",129,372,0.20093457400799,0.34677419066429,209,642,0.57943922281265,766,0,0,0
"Church Army","CAConnected Friday 7 July 2023:67",Regular,"2023-07-07 08:00:00",123,369,0.19188767671585,0.33333334326744,297,642,0.57566303014755,697,0,0,0
"Church Army","Supporter News CAinFocus #3 7 July 2023",Regular,"2023-07-07 11:00:00",118,1690,0.036307692527771,0.069822482764721,335,3272,0.51999998092651,2717,0,0,0
"Church Army","Prayer Points 2023:C2 9 July - 15 July",Regular,"2023-07-08 07:00:00",58,397,0.075916230678558,0.14609572291374,223,766,0.51963353157043,779,1,0.0013089005369693,0
"Church Army","CAConnected Monday 10 July 2023:68 EiT: Martha Botros",Regular,"2023-07-10 13:45:00",0,339,0,0,0,641,0.52886116504669,590,0,0,0
"Church Army","CA Learning & Development July 23",Regular,"2023-07-11 09:31:41",15,76,0.085714288055897,0.19736842811108,89,178,0.4342857003212,211,0,0,0
"Church Army","CAConnected 12 July 2023:69 Joanne Milns",Regular,"2023-07-12 10:45:00",0,321,0,0,0,641,0.50078004598618,573,0,0,0
"Church Army","CAConnected Thursday 13 July 2023:70 Marylebone Won 2023 Homeless Link",Regular,"2023-07-13 13:00:00",22,333,0.041509434580803,0.066066063940525,35,530,0.62830185890198,628,0,0,0
"Church Army","CAConnected Friday 14 July 2023:71",Regular,"2023-07-14 10:00:00",77,361,0.14528301358223,0.21329639852047,165,530,0.68113207817078,776,0,0,0
"Church Army","Prayer Points 2023:C3 16 July - 22 July",Regular,"2023-07-15 07:00:00",66,405,0.10476190596819,0.16296295821667,211,630,0.64285713434219,804,0,0,0
"Church Army","CA Community Blog July 2023",Regular,"2023-07-20 11:15:00",82,342,0.12792511284351,0.23976607620716,143,641,0.53354132175446,689,0,0,0
"Church Army","CAConnected Friday 21 July 2023:72",Regular,"2023-07-21 08:45:00",87,355,0.13572542369366,0.24507042765617,215,641,0.55382215976715,740,0,0,0
